Event ID,Disease,lat,lon,Locality,Country,Region,Location,observation date,report date,Date,Animal Type,Animal Species,Species,Diagnosis Status,Humans Affected,Human Deaths,Diagnosis Source,cluster
392260,African swine fever,52.251931,16.759487,144658 G?RKA,Poland,Europe,"144658 G?RKA, Poland, Europe",2024-11-13,2024-12-06,2024-11-13,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392259,African swine fever,52.293778,16.78713,144660 ROSN?WKO,Poland,Europe,"144660 ROSN?WKO, Poland, Europe",2024-11-13,2024-12-06,2024-11-13,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392258,African swine fever,52.291584,16.78657,144661 ROSN?WKO,Poland,Europe,"144661 ROSN?WKO, Poland, Europe",2024-11-16,2024-12-06,2024-11-16,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392257,African swine fever,52.295329,16.788217,144662 ROSN?WKO,Poland,Europe,"144662 ROSN?WKO, Poland, Europe",2024-11-16,2024-12-06,2024-11-16,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392256,African swine fever,52.314848,16.840131,144663 WIRY,Poland,Europe,"144663 WIRY, Poland, Europe",2024-11-17,2024-12-06,2024-11-17,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392255,African swine fever,52.292945,16.815087,144664 JAROS AWIEC,Poland,Europe,"144664 JAROS AWIEC, Poland, Europe",2024-11-17,2024-12-06,2024-11-17,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392254,African swine fever,52.243748,16.836149,144665 MOSINA,Poland,Europe,"144665 MOSINA, Poland, Europe",2024-11-18,2024-12-06,2024-11-18,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392246,African swine fever,52.288713,16.794796,144673 JAROS AWIEC,Poland,Europe,"144673 JAROS AWIEC, Poland, Europe",2024-11-19,2024-12-06,2024-11-19,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392245,African swine fever,52.298394,16.82494,144674 WIRY,Poland,Europe,"144674 WIRY, Poland, Europe",2024-11-19,2024-12-06,2024-11-19,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392244,African swine fever,52.248571,16.832768,144675 MOSINA,Poland,Europe,"144675 MOSINA, Poland, Europe",2024-11-19,2024-12-06,2024-11-19,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
392243,African swine fever,52.287459,16.799062,144676 JAROS AWIEC,Poland,Europe,"144676 JAROS AWIEC, Poland, Europe",2024-11-19,2024-12-06,2024-11-19,Wild,Wild boar:Sus scrofa(Suidae),"Wild, Wild boar:Sus scrofa(Suidae)",Confirmed,,,WOAH (former OIE),8
